user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_08628,2,3.2,145,10.76,1,0.0,1,2.52,0.0,0,0.0,1,0.0,0,2.43,1,0.0,0,3,True
user_08629,5,4.4,76,15.89,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_08630,6,2.9,17,0.0,0,0.0,0,0.03,0.0,24,0.03,0,0.0,0,0.0,0,0.0,0,24,True
user_08638,3,6.4,78,5.4,1,0.0,1,1.51,0.0,1,1.14,1,0.0,0,0.5,0,0.0,0,3,True
user_08639,4,2.1,29,0.0,0,0.0,0,0.0,0.02,12,0.44,0,0.0,0,0.0,1,0.0,0,13,True
user_08640,2,1.8,59,4.22,1,0.0,1,0.47,0.0,0,0.0,0,0.0,0,0.47,1,0.0,0,2,True
user_08641,10,16.2,1,0.0,0,47.09,5,1.54,0.0,0,456.44,6,0.0,0,387.93,16,0.0,0,27,True
user_08642,2,4.4,318,7.89,1,68.41,3,0.0,0.0,0,70.09,1,0.0,0,0.81,0,0.0,0,4,True
user_08644,3,4.6,193,7.65,1,0.0,1,0.0,0.0,0,0.53,0,0.0,0,0.57,0,0.0,1,2,True
user_08648,5,8.8,96,4.37,1,0.74,1,0.4,0.02,9,10.72,2,0.0,0,11.0,6,0.0,0,18,True
user_08650,2,5.0,109,87.6,1,0.0,0,0.79,0.0,2,5.05,2,0.0,0,4.46,4,0.0,0,8,True
user_08656,6,15.0,14,14.32,1,43.38,10,0.0,0.0,0,303.3,16,0.0,1,272.31,13,0.0,0,40,True
user_08663,2,1.7,215,28.15,1,0.0,0,3.17,0.0,0,2.46,1,0.0,0,0.0,0,0.0,1,2,True
user_08664,2,2.0,60,25.43,1,0.0,0,0.0,0.0,1,0.61,1,0.0,0,0.62,0,0.0,1,3,True
user_08677,2,5.1,328,321.99,1,225.76,19,0.0,0.0,0,290.78,14,0.0,0,77.7,1,0.0,0,34,True
user_08681,6,1.1,165,100.65,1,0.0,0,6.14,0.0,0,0.0,0,6.29,3,5.71,3,0.0,0,6,True
